------------------------------------
Frequenza [GHz]:     9.4000
Lambda [cm]:     3.1915
R:    67.0213[cm] =    21.0000[wl]
a:    23.6170[cm] =    7.4000[wl]
b:     7.3404[cm] =    2.3000[wl]
Shift Factor:     0.0000
Seed:     132786
------------------------------------
Theta[°]     Phi[°]    Delta_R[m]
------------------------------------
   16.2831  153.1915  0.000000
   16.2831  160.8511  0.000000
   16.2831  168.5106  0.000000
   16.2831  176.1702  0.000000
   19.0589  183.3962  0.000000
   19.0589  190.1887  0.000000
   19.0589  196.9811  0.000000
   19.0589  203.7736  0.000000
   19.0589  210.5660  0.000000
   19.0589  217.3585  0.000000
   19.0589  224.1509  0.000000
   19.0589  230.9434  0.000000
   19.0589  237.7358  0.000000
   19.0589  244.5283  0.000000
   19.0589  251.3208  0.000000
   19.0589  258.1132  0.000000
   19.0589  264.9057  0.000000
   19.0589  271.6981  0.000000
   19.0589  278.4906  0.000000
   19.0589  285.2830  0.000000
   19.0589  292.0755  0.000000
   19.0589  298.8679  0.000000
   19.0589  305.6604  0.000000
   19.0589  312.4528  0.000000
   19.0589  319.2453  0.000000
   19.0589  326.0377  0.000000
   19.0589  332.8302  0.000000
   19.0589  339.6226  0.000000
   19.0589  346.4151  0.000000
   19.0589  353.2075  0.000000
   19.0589    0.0000  0.000000
   19.0589    6.7925  0.000000
   19.0589   13.5849  0.000000
   19.0589   20.3774  0.000000
   19.0589   27.1698  0.000000
   19.0589   33.9623  0.000000
   19.0589   40.7547  0.000000
   19.0589   47.5472  0.000000
   19.0589   54.3396  0.000000
   19.0589   61.1321  0.000000
   19.0589   67.9245  0.000000
   19.0589   74.7170  0.000000
   19.0589   81.5094  0.000000
   19.0589   88.3019  0.000000
   19.0589   95.0943  0.000000
   19.0589  101.8868  0.000000
   19.0589  108.6792  0.000000
   19.0589  115.4717  0.000000
   19.0589  122.2642  0.000000
   19.0589  129.0566  0.000000
   19.0589  135.8491  0.000000
   19.0589  142.6415  0.000000
   19.0589  149.4340  0.000000
   19.0589  156.2264  0.000000
   19.0589  163.0189  0.000000
   19.0589  169.8113  0.000000
   19.0589  176.6038  0.000000
   21.8652  183.0508  0.000000
   21.8652  189.1525  0.000000
   21.8652  195.2542  0.000000
   21.8652  201.3559  0.000000
   21.8652  207.4576  0.000000
   21.8652  213.5593  0.000000
   21.8652  219.6610  0.000000
   21.8652  225.7627  0.000000
   21.8652  231.8644  0.000000
   21.8652  237.9661  0.000000
   21.8652  244.0678  0.000000
   21.8652  250.1695  0.000000
   21.8652  256.2712  0.000000
   21.8652  262.3729  0.000000
   21.8652  268.4746  0.000000
   21.8652  274.5763  0.000000
   21.8652  280.6780  0.000000
   21.8652  286.7797  0.000000
   21.8652  292.8814  0.000000
   21.8652  298.9831  0.000000
   21.8652  305.0847  0.000000
   21.8652  311.1864  0.000000
   21.8652  317.2881  0.000000
   21.8652  323.3898  0.000000
   21.8652  329.4915  0.000000
   21.8652  335.5932  0.000000
   21.8652  341.6949  0.000000
   21.8652  347.7966  0.000000
   21.8652  353.8983  0.000000
   21.8652    0.0000  0.000000
   21.8652    6.1017  0.000000
   21.8652   12.2034  0.000000
   21.8652   18.3051  0.000000
   21.8652   24.4068  0.000000
   21.8652   30.5085  0.000000
   21.8652   36.6102  0.000000
   21.8652   42.7119  0.000000
   21.8652   48.8136  0.000000
   21.8652   54.9153  0.000000
   21.8652   61.0169  0.000000
   21.8652   67.1186  0.000000
   21.8652   73.2203  0.000000
   21.8652   79.3220  0.000000
   21.8652   85.4237  0.000000
   21.8652   91.5254  0.000000
   21.8652   97.6271  0.000000
   21.8652  103.7288  0.000000
   21.8652  109.8305  0.000000
   21.8652  115.9322  0.000000
   21.8652  122.0339  0.000000
   21.8652  128.1356  0.000000
   21.8652  134.2373  0.000000
   21.8652  140.3390  0.000000
   21.8652  146.4407  0.000000
   21.8652  152.5424  0.000000
   21.8652  158.6441  0.000000
   21.8652  164.7458  0.000000
   21.8652  170.8475  0.000000
   21.8652  176.9492  0.000000
   24.7081  182.7692  0.000000
   24.7081  188.3077  0.000000
   24.7081  193.8462  0.000000
   24.7081  199.3846  0.000000
   24.7081  204.9231  0.000000
   24.7081  210.4615  0.000000
   24.7081  216.0000  0.000000
   24.7081  221.5385  0.000000
   24.7081  227.0769  0.000000
   24.7081  232.6154  0.000000
   24.7081  238.1538  0.000000
   24.7081  243.6923  0.000000
   24.7081  249.2308  0.000000
   24.7081  254.7692  0.000000
   24.7081  260.3077  0.000000
   24.7081  265.8462  0.000000
   24.7081  271.3846  0.000000
   24.7081  276.9231  0.000000
   24.7081  282.4615  0.000000
   24.7081  288.0000  0.000000
   24.7081  293.5385  0.000000
   24.7081  299.0769  0.000000
   24.7081  304.6154  0.000000
   24.7081  310.1538  0.000000
   24.7081  315.6923  0.000000
   24.7081  321.2308  0.000000
   24.7081  326.7692  0.000000
   24.7081  332.3077  0.000000
   24.7081  337.8462  0.000000
   24.7081  343.3846  0.000000
   24.7081  348.9231  0.000000
   24.7081  354.4615  0.000000
   24.7081    0.0000  0.000000
   24.7081    5.5385  0.000000
   24.7081   11.0769  0.000000
   24.7081   16.6154  0.000000
   24.7081   22.1538  0.000000
   24.7081   27.6923  0.000000
   24.7081   33.2308  0.000000
   24.7081   38.7692  0.000000
   24.7081   44.3077  0.000000
   24.7081   49.8462  0.000000
   24.7081   55.3846  0.000000
   24.7081   60.9231  0.000000
   24.7081   66.4615  0.000000
   24.7081   72.0000  0.000000
   24.7081   77.5385  0.000000
   24.7081   83.0769  0.000000
   24.7081   88.6154  0.000000
   24.7081   94.1538  0.000000
   24.7081   99.6923  0.000000
   24.7081  105.2308  0.000000
   24.7081  110.7692  0.000000
   24.7081  116.3077  0.000000
   24.7081  121.8462  0.000000
   24.7081  127.3846  0.000000
   24.7081  132.9231  0.000000
   24.7081  138.4615  0.000000
   24.7081  144.0000  0.000000
   24.7081  149.5385  0.000000
   24.7081  155.0769  0.000000
   24.7081  160.6154  0.000000
   24.7081  166.1538  0.000000
   24.7081  171.6923  0.000000
   24.7081  177.2308  0.000000
   27.5942  182.6087  0.000000
